target_quantile,tau_abs_delta,auc,positive_fraction
90,0.11416395753622055,0.8594610135326175,0.1
95,0.15336357876658438,0.8476383725022897,0.05
98,0.19318199992179874,0.844753725743887,0.02
99,0.22252770602703098,0.8523941686451292,0.01
